action_type,combined_shot_type,game_event_id,game_id,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_id,team_name,game_date,matchup,opponent,shot_id,resultado,cor
Hook Bank Shot,Bank Shot,166,20400294,34.0393,-46,5,-118.3158,7,2,0,2004-05,22,4,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-12-11,LAL @ LAC,LAC,6577,Cesta,green
Jump Bank Shot,Jump Shot,194,20400294,33.8533,-80,191,-118.3498,5,2,0,2004-05,21,20,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-12-11,LAL @ LAC,LAC,6578,Cesta,green
Jump Shot,Jump Shot,210,20400294,33.9263,146,118,-118.1238,3,2,0,2004-05,33,18,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-12-11,LAL @ LAC,LAC,6579,Cesta,green
Jump Shot,Jump Shot,214,20400294,34.0113,195,33,-118.0748,2,2,0,2004-05,54,19,1.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-12-11,LAL @ LAC,LAC,6580,Cesta,green
Jump Bank Shot,Jump Shot,253,20400294,33.8733,-113,171,-118.3828,11,3,0,2004-05,15,20,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-12-11,LAL @ LAC,LAC,6582,Cesta,green
Reverse Dunk Shot,Dunk,264,20400294,34.0443,0,0,-118.2698,10,3,0,2004-05,7,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-12-11,LAL @ LAC,LAC,6583,Cesta,green
Jump Shot,Jump Shot,278,20400294,33.9073,117,137,-118.1528,8,3,0,2004-05,46,18,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-12-11,LAL @ LAC,LAC,6585,Cesta,green
Jump Shot,Jump Shot,411,20400294,33.8713,79,173,-118.1908,7,4,0,2004-05,52,19,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-12-11,LAL @ LAC,LAC,6591,Cesta,green
Jump Shot,Jump Shot,415,20400294,33.8913,-112,153,-118.3818,7,4,0,2004-05,7,18,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-12-11,LAL @ LAC,LAC,6592,Cesta,green
Driving Layup Shot,Layup,457,20400294,34.0443,0,0,-118.2698,3,4,0,2004-05,11,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-12-11,LAL @ LAC,LAC,6596,Cesta,green
Jump Bank Shot,Jump Shot,30,20400301,33.9243,-85,120,-118.3548,8,1,0,2004-05,14,14,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2004-12-12,LAL vs. ORL,ORL,6602,Cesta,green
Jump Shot,Jump Shot,88,20400301,33.9633,34,81,-118.2358,0,1,0,2004-05,42,8,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2004-12-12,LAL vs. ORL,ORL,6607,Cesta,green
Reverse Layup Shot,Layup,232,20400301,34.0443,0,0,-118.2698,9,3,0,2004-05,53,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-12-12,LAL vs. ORL,ORL,6612,Cesta,green
Slam Dunk Shot,Dunk,278,20400301,34.0443,0,0,-118.2698,4,3,0,2004-05,45,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-12-12,LAL vs. ORL,ORL,6617,Cesta,green
Driving Layup Shot,Layup,373,20400301,34.0443,0,0,-118.2698,7,4,0,2004-05,17,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-12-12,LAL vs. ORL,ORL,6618,Cesta,green
Jump Shot,Jump Shot,5,20400315,34.0533,-184,-9,-118.4538,11,1,0,2004-05,9,18,1.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-12-14,LAL @ SEA,SEA,6623,Cesta,green
Turnaround Jump Shot,Jump Shot,17,20400315,34.0273,151,17,-118.1188,9,1,0,2004-05,47,15,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2004-12-14,LAL @ SEA,SEA,6624,Cesta,green
Driving Layup Shot,Layup,19,20400315,34.0443,0,0,-118.2698,9,1,0,2004-05,10,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-12-14,LAL @ SEA,SEA,6625,Cesta,green
Jump Shot,Jump Shot,51,20400315,33.8913,-99,153,-118.3688,5,1,0,2004-05,38,18,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-12-14,LAL @ SEA,SEA,6626,Cesta,green
Jump Shot,Jump Shot,180,20400315,33.9783,-161,66,-118.4308,5,2,0,2004-05,19,17,1.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-12-14,LAL @ SEA,SEA,6633,Cesta,green
Driving Layup Shot,Layup,303,20400315,34.0443,0,0,-118.2698,6,3,0,2004-05,14,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-12-14,LAL @ SEA,SEA,6638,Cesta,green
Driving Layup Shot,Layup,423,20400315,34.0443,0,0,-118.2698,6,4,0,2004-05,49,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-12-14,LAL @ SEA,SEA,6642,Cesta,green
Driving Layup Shot,Layup,448,20400315,34.0443,0,0,-118.2698,4,4,0,2004-05,38,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-12-14,LAL @ SEA,SEA,6643,Cesta,green
Jump Shot,Jump Shot,125,20400328,33.9933,172,51,-118.0978,9,2,0,2004-05,38,17,1.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-12-16,LAL @ SAC,SAC,6650,Cesta,green
Reverse Layup Shot,Layup,226,20400328,34.0443,0,0,-118.2698,9,3,0,2004-05,48,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-12-16,LAL @ SAC,SAC,6653,Cesta,green
Jump Shot,Jump Shot,233,20400328,33.9393,161,105,-118.1088,8,3,0,2004-05,40,19,1.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-12-16,LAL @ SAC,SAC,6655,Cesta,green
Layup Shot,Layup,256,20400328,34.0443,0,0,-118.2698,5,3,0,2004-05,23,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-12-16,LAL @ SAC,SAC,6656,Cesta,green
Driving Layup Shot,Layup,296,20400328,34.0443,0,0,-118.2698,0,3,0,2004-05,37,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-12-16,LAL @ SAC,SAC,6658,Cesta,green
Driving Layup Shot,Layup,132,20400338,34.0443,0,0,-118.2698,10,2,0,2004-05,17,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-12-17,LAL vs. WAS,WAS,6664,Cesta,green
Reverse Layup Shot,Layup,135,20400338,34.0443,0,0,-118.2698,9,2,0,2004-05,49,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-12-17,LAL vs. WAS,WAS,6665,Cesta,green
Jump Bank Shot,Jump Shot,140,20400338,33.9953,-143,49,-118.4128,8,2,0,2004-05,24,15,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2004-12-17,LAL vs. WAS,WAS,6666,Cesta,green
Jump Bank Shot,Jump Shot,171,20400338,33.9303,138,114,-118.1318,5,2,0,2004-05,40,17,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-12-17,LAL vs. WAS,WAS,6668,Cesta,green
Jump Shot,Jump Shot,219,20400338,34.0623,-212,-18,-118.4818,0,2,0,2004-05,21,21,1.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-12-17,LAL vs. WAS,WAS,6670,Cesta,green
Jump Shot,Jump Shot,408,20400338,34.0503,154,-6,-118.1158,3,4,0,2004-05,50,15,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2004-12-17,LAL vs. WAS,WAS,6676,Cesta,green
Running Jump Shot,Jump Shot,2,20400358,33.9953,64,49,-118.2058,11,1,0,2004-05,41,8,1.0,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2004-12-20,LAL vs. MEM,MEM,6685,Cesta,green
Layup Shot,Layup,215,20400358,34.0443,0,0,-118.2698,1,2,0,2004-05,14,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-12-20,LAL vs. MEM,MEM,6690,Cesta,green
Jump Shot,Jump Shot,13,20400377,33.9123,52,132,-118.2178,11,1,0,2004-05,2,14,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2004-12-22,LAL vs. NOK,NOP,6702,Cesta,green
Driving Layup Shot,Layup,128,20400377,34.0443,0,0,-118.2698,9,2,0,2004-05,56,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-12-22,LAL vs. NOK,NOP,6709,Cesta,green
Slam Dunk Shot,Dunk,307,20400377,34.0443,0,0,-118.2698,3,3,0,2004-05,58,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-12-22,LAL vs. NOK,NOP,6714,Cesta,green
Jump Shot,Jump Shot,367,20400377,33.8783,138,166,-118.1318,10,4,0,2004-05,23,21,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-12-22,LAL vs. NOK,NOP,6719,Cesta,green
Reverse Layup Shot,Layup,371,20400377,34.0443,0,0,-118.2698,9,4,0,2004-05,57,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-12-22,LAL vs. NOK,NOP,6720,Cesta,green
Reverse Dunk Shot,Dunk,459,20400377,34.0443,0,0,-118.2698,3,4,0,2004-05,29,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-12-22,LAL vs. NOK,NOP,6724,Cesta,green
Jump Bank Shot,Jump Shot,484,20400377,34.0313,-85,13,-118.3548,2,4,0,2004-05,23,8,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2004-12-22,LAL vs. NOK,NOP,6725,Cesta,green
Fadeaway Jump Shot,Jump Shot,504,20400377,33.9683,-164,76,-118.4338,0,4,0,2004-05,48,18,1.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-12-22,LAL vs. NOK,NOP,6726,Cesta,green
Jump Shot,Jump Shot,5,20400382,34.0063,59,38,-118.2108,11,1,0,2004-05,18,7,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-12-25,LAL vs. MIA,MIA,6728,Cesta,green
Jump Shot,Jump Shot,293,20400382,34.0423,62,2,-118.2078,3,3,0,2004-05,37,6,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-12-25,LAL vs. MIA,MIA,6743,Cesta,green
Driving Finger Roll Shot,Layup,316,20400382,34.0443,0,0,-118.2698,1,3,0,2004-05,33,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-12-25,LAL vs. MIA,MIA,6745,Cesta,green
Jump Bank Shot,Jump Shot,378,20400382,33.9123,108,132,-118.1618,5,4,0,2004-05,42,17,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-12-25,LAL vs. MIA,MIA,6750,Cesta,green
Hook Bank Shot,Bank Shot,58,20400407,34.0133,-71,31,-118.3408,6,1,0,2004-05,24,7,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-12-28,LAL vs. TOR,TOR,6759,Cesta,green
Driving Layup Shot,Layup,92,20400407,34.0443,0,0,-118.2698,3,1,0,2004-05,4,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-12-28,LAL vs. TOR,TOR,6761,Cesta,green
Turnaround Jump Shot,Jump Shot,149,20400407,33.9863,43,58,-118.2268,9,2,0,2004-05,27,7,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-12-28,LAL vs. TOR,TOR,6764,Cesta,green
Driving Layup Shot,Layup,174,20400407,34.0443,0,0,-118.2698,8,2,0,2004-05,20,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-12-28,LAL vs. TOR,TOR,6765,Cesta,green
Reverse Layup Shot,Layup,187,20400407,34.0443,0,0,-118.2698,6,2,0,2004-05,35,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-12-28,LAL vs. TOR,TOR,6766,Cesta,green
Driving Layup Shot,Layup,206,20400407,34.0443,0,0,-118.2698,4,2,0,2004-05,44,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-12-28,LAL vs. TOR,TOR,6767,Cesta,green
Running Jump Shot,Jump Shot,286,20400407,33.9983,15,46,-118.2548,7,3,0,2004-05,50,4,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-12-28,LAL vs. TOR,TOR,6770,Cesta,green
Driving Dunk Shot,Dunk,426,20400407,34.0443,0,0,-118.2698,7,4,0,2004-05,52,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-12-28,LAL vs. TOR,TOR,6778,Cesta,green
Jump Shot,Jump Shot,459,20400407,33.8553,-112,189,-118.3818,4,4,0,2004-05,4,21,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-12-28,LAL vs. TOR,TOR,6780,Cesta,green
Running Layup Shot,Layup,483,20400407,34.0443,0,0,-118.2698,1,4,0,2004-05,53,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-12-28,LAL vs. TOR,TOR,6781,Cesta,green
Layup Shot,Layup,2,20400439,34.0443,0,0,-118.2698,11,1,0,2004-05,38,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2005-01-02,LAL vs. DEN,DEN,6783,Cesta,green
Jump Bank Shot,Jump Shot,31,20400439,33.9443,130,100,-118.1398,8,1,0,2004-05,40,16,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2005-01-02,LAL vs. DEN,DEN,6785,Cesta,green
Fadeaway Jump Shot,Jump Shot,64,20400439,33.8983,-122,146,-118.3918,5,1,0,2004-05,53,19,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2005-01-02,LAL vs. DEN,DEN,6788,Cesta,green
Jump Bank Shot,Jump Shot,156,20400439,34.0133,-13,31,-118.2828,9,2,0,2004-05,30,3,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2005-01-02,LAL vs. DEN,DEN,6792,Cesta,green
Slam Dunk Shot,Dunk,303,20400439,34.0443,0,0,-118.2698,8,3,0,2004-05,1,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2005-01-02,LAL vs. DEN,DEN,6797,Cesta,green
Driving Layup Shot,Layup,306,20400439,34.0443,0,0,-118.2698,7,3,0,2004-05,42,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2005-01-02,LAL vs. DEN,DEN,6798,Cesta,green
Reverse Dunk Shot,Dunk,313,20400439,34.0443,0,0,-118.2698,6,3,0,2004-05,42,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2005-01-02,LAL vs. DEN,DEN,6799,Cesta,green
Jump Shot,Jump Shot,449,20400439,33.9783,36,66,-118.2338,7,4,0,2004-05,23,7,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2005-01-02,LAL vs. DEN,DEN,6804,Cesta,green
Jump Shot,Jump Shot,495,20400439,33.9293,-18,115,-118.2878,3,4,0,2004-05,33,11,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2005-01-02,LAL vs. DEN,DEN,6809,Cesta,green
Driving Layup Shot,Layup,516,20400439,34.0443,0,0,-118.2698,1,4,0,2004-05,47,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2005-01-02,LAL vs. DEN,DEN,6810,Cesta,green
Jump Shot,Jump Shot,521,20400439,33.8653,-112,179,-118.3818,1,4,0,2004-05,11,21,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2005-01-02,LAL vs. DEN,DEN,6811,Cesta,green
Reverse Dunk Shot,Dunk,58,20400452,34.0263,6,18,-118.2638,4,1,0,2004-05,8,1,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2005-01-04,LAL @ SAS,SAS,6815,Cesta,green
Jump Shot,Jump Shot,60,20400452,34.0313,64,13,-118.2058,3,1,0,2004-05,32,6,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2005-01-04,LAL @ SAS,SAS,6816,Cesta,green
Reverse Layup Shot,Layup,81,20400452,34.0393,-6,5,-118.2758,1,1,0,2004-05,8,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2005-01-04,LAL @ SAS,SAS,6817,Cesta,green
Jump Shot,Jump Shot,185,20400452,34.0113,16,33,-118.2538,2,2,0,2004-05,45,3,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2005-01-04,LAL @ SAS,SAS,6824,Cesta,green
Jump Shot,Jump Shot,260,20400452,33.8293,-13,215,-118.2828,7,3,0,2004-05,11,21,1.0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2005-01-04,LAL @ SAS,SAS,6826,Cesta,green
Slam Dunk Shot,Dunk,143,20400461,34.0443,0,0,-118.2698,9,2,0,2004-05,35,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2005-01-05,LAL @ DAL,DAL,6835,Cesta,green
Jump Shot,Jump Shot,196,20400461,34.0443,-102,0,-118.3718,4,2,0,2004-05,34,10,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2005-01-05,LAL @ DAL,DAL,6837,Cesta,green
Jump Shot,Jump Shot,215,20400461,34.0343,-158,10,-118.4278,2,2,0,2004-05,51,15,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2005-01-05,LAL @ DAL,DAL,6839,Cesta,green
Layup Shot,Layup,220,20400461,34.0443,0,0,-118.2698,2,2,0,2004-05,19,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2005-01-05,LAL @ DAL,DAL,6841,Cesta,green
Layup Shot,Layup,222,20400461,34.0443,0,0,-118.2698,1,2,0,2004-05,54,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2005-01-05,LAL @ DAL,DAL,6842,Cesta,green
Jump Shot,Jump Shot,258,20400461,33.9063,-154,138,-118.4238,10,3,0,2004-05,43,20,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2005-01-05,LAL @ DAL,DAL,6845,Cesta,green
Jump Shot,Jump Shot,351,20400461,34.0453,154,-1,-118.1158,1,3,0,2004-05,14,15,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2005-01-05,LAL @ DAL,DAL,6847,Cesta,green
Driving Dunk Shot,Dunk,23,20400477,34.0443,0,0,-118.2698,9,1,0,2004-05,9,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2005-01-07,LAL vs. HOU,HOU,6859,Cesta,green
Running Jump Shot,Jump Shot,121,20400477,33.9903,44,54,-118.2258,9,2,0,2004-05,3,6,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2005-01-07,LAL vs. HOU,HOU,6863,Cesta,green
Jump Bank Shot,Jump Shot,176,20400477,33.9703,-136,74,-118.4058,5,2,0,2004-05,3,15,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2005-01-07,LAL vs. HOU,HOU,6866,Cesta,green
Jump Bank Shot,Jump Shot,178,20400477,33.9293,-143,115,-118.4128,4,2,0,2004-05,36,18,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2005-01-07,LAL vs. HOU,HOU,6867,Cesta,green
Jump Shot,Jump Shot,340,20400477,34.0363,-168,8,-118.4378,11,4,0,2004-05,40,16,1.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2005-01-07,LAL vs. HOU,HOU,6872,Cesta,green
Jump Bank Shot,Jump Shot,348,20400477,33.9803,-99,64,-118.3688,10,4,0,2004-05,38,11,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2005-01-07,LAL vs. HOU,HOU,6873,Cesta,green
Reverse Dunk Shot,Dunk,408,20400477,34.0443,0,0,-118.2698,5,4,0,2004-05,11,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2005-01-07,LAL vs. HOU,HOU,6875,Cesta,green
Jump Shot,Jump Shot,22,20400494,33.9243,113,120,-118.1568,9,1,0,2004-05,5,16,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2005-01-10,LAL @ MIN,MIN,6878,Cesta,green
Jump Shot,Jump Shot,50,20400494,33.8803,-79,164,-118.3488,5,1,0,2004-05,40,18,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2005-01-10,LAL @ MIN,MIN,6879,Cesta,green
Driving Layup Shot,Layup,4,20400512,34.0443,0,0,-118.2698,11,1,0,2004-05,28,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2005-01-12,LAL @ DEN,DEN,6896,Cesta,green
Fadeaway Jump Shot,Jump Shot,46,20400512,33.9733,164,71,-118.1058,5,1,0,2004-05,39,17,1.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2005-01-12,LAL @ DEN,DEN,6897,Cesta,green
Running Jump Shot,Jump Shot,239,20400512,34.0013,77,43,-118.1928,11,3,0,2004-05,43,8,1.0,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2005-01-12,LAL @ DEN,DEN,6905,Cesta,green
Jump Bank Shot,Jump Shot,11,20400518,33.9323,-131,112,-118.4008,10,1,0,2004-05,18,17,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2005-01-13,LAL vs. CLE,CLE,6911,Cesta,green
Driving Layup Shot,Layup,70,20400746,34.0523,1,-8,-118.2688,4,1,0,2004-05,35,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2005-02-13,LAL @ CLE,CLE,6917,Cesta,green
Jump Shot,Jump Shot,191,20400746,33.8813,148,163,-118.1218,3,2,0,2004-05,21,22,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2005-02-13,LAL @ CLE,CLE,6920,Cesta,green
Jump Bank Shot,Jump Shot,206,20400746,33.9733,-205,71,-118.4748,1,2,0,2004-05,24,21,1.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2005-02-13,LAL @ CLE,CLE,6921,Cesta,green
Driving Layup Shot,Layup,214,20400746,34.0363,1,8,-118.2688,0,2,0,2004-05,1,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2005-02-13,LAL @ CLE,CLE,6922,Cesta,green
Driving Dunk Shot,Dunk,351,20400746,34.0343,3,10,-118.2668,0,3,0,2004-05,57,1,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2005-02-13,LAL @ CLE,CLE,6929,Cesta,green
Finger Roll Shot,Layup,23,20400767,33.9933,-3,51,-118.2728,8,1,0,2004-05,32,5,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2005-02-15,LAL vs. UTA,UTA,6934,Cesta,green
Driving Layup Shot,Layup,51,20400767,34.0443,0,0,-118.2698,5,1,0,2004-05,45,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2005-02-15,LAL vs. UTA,UTA,6936,Cesta,green
Turnaround Jump Shot,Jump Shot,53,20400767,34.0553,166,-11,-118.1038,5,1,0,2004-05,5,16,1.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2005-02-15,LAL vs. UTA,UTA,6937,Cesta,green
